name ,x,y ,type
Hongsa Power Plant,19.69148398,101.2801606,other
Nam Ngum 5,19.3561,102.6212,hydro
Nam Tha 1 ,20.24947,100.8924,hydro
Houay Lamphan Gnai Hydropower Station,15.35615,106.5011,hydro
Nam Lik 1-2 Hydropower Plant,18.79378,102.1167,hydro
Dong saong hydropower,13.95622,105.9642,hydro
Nam Ou 5,21.41135,102.3443,hydro
Nam Ou 6 ,21.78256,102.1958,hydro
Nam Bi 0-1-2 ,15.57694,107.0064,hydro
Nam Khan 2-3,19.68536,102.3698,hydro
Power supply China-Laos railway,19.86856298,102.2166995,other
Xeset 2-3 ,15.40378,106.2803,hydro
Nam Ngum 4,15.40378,106.2803,hydro
Xe Lanong ,16.25587,106.5703,hydro
La-Nge River Hydropower Station,15.80542302,106.9381754,hydro
Saysettha oil refinery,18.02167425,102.7441582,other
